frame,time,face_box,face_prob,face_landmarks,face_aus,face_id
0,0.0,[183.43025 317.08014 258.1621  405.70914],0.96210974,"[[190.28440848 354.1021148 ]
 [188.90295818 360.55639482]
 [188.78154263 367.51136816]
 [189.82686386 374.74008238]
 [191.17465109 381.82858682]
 [192.7302438  388.91057348]
 [195.36536127 395.0453434 ]
 [199.26040888 399.83134305]
 [206.104092   401.39258718]
 [215.19795537 400.46793854]
 [225.49343228 398.32936502]
 [235.86639285 394.64086092]
 [244.76672411 388.93161273]
 [250.98834395 380.73417044]
 [254.25776899 370.92061138]
 [255.83533168 360.32982862]
 [256.67678893 349.89112175]
 [187.33923703 342.08195066]
 [189.11952645 340.65217233]
 [191.74379706 340.59462821]
 [194.59544793 341.12366712]
 [197.20366687 342.51246667]
 [208.68273556 339.2579118 ]
 [214.11601931 336.664327  ]
 [220.40519595 335.11387473]
 [227.06106544 335.31792378]
 [233.68751109 337.21349588]
 [201.80043399 347.02642596]
 [200.41234791 351.46875417]
 [198.76436114 355.76947784]
 [196.86330527 360.2042771 ]
 [196.328969   367.26006126]
 [198.18300039 367.87028527]
 [200.33725679 368.05408633]
 [203.70676577 367.40169263]
 [207.14994431 366.49984813]
 [190.20850196 351.37598461]
 [192.14082569 349.6470139 ]
 [195.02545834 349.14726472]
 [198.35312486 349.75443637]
 [195.34886166 351.07216543]
 [192.59022981 351.63467026]
 [215.08606702 347.43774271]
 [218.38574737 345.51170206]
 [222.27517843 345.43432838]
 [227.10015059 346.20229042]
 [222.48640776 347.50002629]
 [218.70625526 347.82228029]
 [194.39978212 380.28413868]
 [194.53037351 375.84307647]
 [196.69608563 373.1743536 ]
 [199.04349595 373.57024765]
 [201.72556549 372.51588202]
 [207.47281253 374.52482438]
 [213.62969458 378.06580162]
 [208.38827461 381.23588836]
 [203.48507583 383.22949922]
 [200.48154354 383.82601178]
 [197.88226306 383.82488525]
 [195.56576788 382.69315934]
 [195.54879487 379.75436485]
 [197.39010185 376.72972357]
 [199.62184459 376.54121792]
 [202.29263276 376.08580565]
 [211.70828879 377.89672053]
 [202.75925934 378.86374807]
 [200.02001584 379.37023497]
 [197.62733519 379.53406966]]","[1.7044775e-01 7.7948201e-01 1.5374470e-03 9.6385533e-01 9.6028847e-01
 4.8543149e-01 9.9890083e-01 6.2456769e-01 8.9162879e-02 2.0196123e-04
 1.8747532e-03 1.6473426e-06]",0.0
0,0.0,[ 84.66145  255.8368   118.777725 302.6927  ],0.7342138,"[[ 89.19706547 278.56552947]
 [ 90.24932504 282.00198746]
 [ 91.51842117 285.47954369]
 [ 93.24289489 288.58264208]
 [ 95.77467346 290.8411876 ]
 [ 99.07924259 292.40004671]
 [103.17981124 293.23800564]
 [107.13333797 293.37499142]
 [110.24316049 293.04987049]
 [112.46242523 291.2116375 ]
 [113.42927396 288.99710667]
 [114.15855801 286.18723845]
 [114.75539494 282.97870708]
 [115.07379925 279.78571677]
 [115.18930089 276.79947436]
 [114.92404366 273.85157269]
 [114.28218317 271.18901801]
 [ 97.27792716 274.55121654]
 [ 98.45080531 273.24778008]
 [100.09784025 271.76642609]
 [102.38827276 270.73025459]
 [104.70314467 270.13404226]
 [111.62376785 268.95604217]
 [111.74312973 268.01104057]
 [112.09839654 267.23949796]
 [112.553684   266.58019257]
 [113.19394732 266.50232196]
 [109.30249727 271.94129825]
 [110.74942207 273.53253376]
 [112.20061767 275.05458295]
 [113.64375734 276.63705909]
 [110.59528804 279.87512052]
 [111.43237829 279.87080467]
 [111.9946208  279.56630921]
 [112.33335769 279.22562468]
 [112.53662336 278.42625558]
 [100.72797358 276.36309755]
 [101.83972883 275.29138911]
 [103.09913182 274.30290854]
 [104.80209887 274.04394108]
 [103.96409488 275.60839403]
 [102.80123782 276.34319556]
 [110.72885919 271.71819317]
 [110.98292124 271.10432565]
 [111.6485039  270.54403329]
 [112.52767873 270.63516062]
 [112.25501144 271.5696317 ]
 [111.61975741 271.94025934]
 [106.03338122 283.98472643]
 [108.36292052 283.44624865]
 [110.23578548 282.90015805]
 [110.78776157 282.67722321]
 [110.82139969 282.4102937 ]
 [111.06563091 282.18160105]
 [111.2505492  282.48371077]
 [111.10063839 283.19249451]
 [110.71133542 283.75864232]
 [110.63342476 284.03038085]
 [110.21704507 284.3116473 ]
 [108.41750455 284.45549238]
 [106.52944899 283.91303921]
 [110.2566638  283.05184376]
 [110.75890994 282.8527112 ]
 [110.71792936 282.54800045]
 [111.11616945 282.64642394]
 [110.51196504 283.5343982 ]
 [110.52613926 283.69629526]
 [110.05832481 283.93837357]]","[2.0801160e-01 8.7668252e-01 1.4203868e-02 8.8757998e-01 9.7570503e-01
 8.2885879e-01 9.5071673e-01 8.4472489e-01 2.8203321e-01 4.5220065e-03
 3.1180503e-03 6.6686815e-05]",0.0
0,0.0,[923.4045  205.8698  939.44324 227.29253],0.98893565,"[[922.7792654  213.36511469]
 [922.91467777 215.57544446]
 [923.23638371 217.71593904]
 [923.73053199 219.74304533]
 [924.58489007 221.49845457]
 [925.87567395 222.92749023]
 [927.50196373 224.08099985]
 [929.23934793 224.92236948]
 [930.99814987 225.31746006]
 [932.58695459 225.14470196]
 [934.06825399 224.54613781]
 [935.63740706 223.67631292]
 [937.03284478 222.37997985]
 [938.10818172 220.70678091]
 [938.9824388  218.81692386]
 [939.72527838 216.84224463]
 [940.2265749  214.77982259]
 [924.85839403 212.2276262 ]
 [926.17040312 211.60975611]
 [927.66464448 211.44529021]
 [929.2231766  211.62706888]
 [930.68102694 212.07911885]
 [935.13178444 212.15624189]
 [936.45607567 211.88359475]
 [937.82712317 211.81241071]
 [939.13460469 212.07482135]
 [940.03365016 212.83327675]
 [932.87283158 213.9460454 ]
 [932.84552312 215.40472662]
 [932.83592081 216.78317881]
 [932.82510972 218.15550661]
 [930.83640075 219.22877407]
 [931.62899351 219.45315218]
 [932.41833186 219.58976841]
 [933.20333099 219.4952879 ]
 [933.91378736 219.27118039]
 [926.46542645 213.92396009]
 [927.76530957 213.43928611]
 [928.97659636 213.46799827]
 [930.01376128 214.21352243]
 [928.89931297 214.48171949]
 [927.66231632 214.43168736]
 [935.10851836 214.41207147]
 [936.21476626 213.71288931]
 [937.36123419 213.74757028]
 [938.36932874 214.30774784]
 [937.36416197 214.76648366]
 [936.22390962 214.74365568]
 [928.8952843  221.46345234]
 [930.24678147 221.1883781 ]
 [931.37405133 220.93697762]
 [931.9788692  221.12107015]
 [932.57494426 221.00880241]
 [933.37073302 221.27900696]
 [934.08151603 221.61293364]
 [933.3386538  222.16613865]
 [932.55645728 222.56223893]
 [931.85016131 222.64294958]
 [931.08551359 222.55264616]
 [930.03648555 222.13251448]
 [929.30517352 221.5346787 ]
 [931.22264957 221.4722476 ]
 [931.89923143 221.57563066]
 [932.5050149  221.51327944]
 [933.80134439 221.6052947 ]
 [932.60028934 221.69127202]
 [931.96094131 221.7355237 ]
 [931.26073456 221.64468741]]","[8.7902784e-02 9.4772428e-01 2.6700993e-03 6.4267308e-01 5.6777054e-01
 6.3684994e-01 9.6698391e-01 9.2259216e-01 8.7212771e-02 6.7338934e-03
 1.2891732e-02 3.0481772e-04]",1.0
1,0.04012841091492777,[569.5371  163.1367  734.4116  381.21252],0.9974758,"[[579.72910447 237.66727591]
 [577.75271428 259.43725994]
 [578.31049009 281.50231814]
 [580.64476016 303.32933736]
 [585.91489482 323.86029339]
 [595.91008291 342.03994352]
 [608.49685174 357.60317528]
 [623.22630358 370.62823784]
 [641.56848943 376.51045835]
 [661.8135401  376.48706782]
 [682.40794235 369.5541712 ]
 [701.80164647 359.0480032 ]
 [717.80875272 343.76546967]
 [728.7980206  324.12871516]
 [736.06611824 301.86748844]
 [741.96681869 278.86751473]
 [745.85844803 255.08751661]
 [590.08963025 218.56615508]
 [599.2687355  209.5858812 ]
 [612.43452674 207.5257293 ]
 [625.87805682 210.91073775]
 [638.05343935 218.16596586]
 [666.98938316 220.85688519]
 [682.53667331 216.82477923]
 [698.88342857 217.31112021]
 [714.26264375 223.79115146]
 [724.16690886 235.82533085]
 [650.85719332 244.95203871]
 [648.65634832 262.8454217 ]
 [646.38133445 280.16010255]
 [644.15404463 297.37241423]
 [629.21968842 305.87131405]
 [636.07034454 309.71358842]
 [643.4281553  312.72058833]
 [652.14300239 311.72378635]
 [660.50134552 310.11880684]
 [603.66998664 237.93821228]
 [613.18034902 231.84138483]
 [624.87045512 234.28485915]
 [632.70922479 246.34309924]
 [622.28320968 247.53522164]
 [610.79063615 245.46132839]
 [673.43391347 251.64834934]
 [683.82110053 241.69330591]
 [696.06624544 242.6030339 ]
 [705.24653089 251.34740382]
 [696.11010861 256.20316312]
 [684.12929332 255.62686288]
 [617.51599517 334.79856944]
 [626.82664844 331.50038588]
 [636.02273911 329.78732598]
 [642.46901897 332.86631227]
 [650.37016141 331.57848084]
 [662.31625861 336.18579876]
 [674.24902368 341.04196727]
 [662.35943383 347.13026643]
 [650.44051686 349.55545652]
 [641.77529755 349.24869895]
 [634.15478811 347.44186342]
 [626.00168741 342.6740855 ]
 [621.58322549 335.844845  ]
 [635.01199415 336.85695994]
 [642.00489128 338.69303364]
 [650.04469854 338.62013394]
 [670.18343616 341.07381493]
 [650.83351812 339.36802602]
 [642.81066069 339.1394583 ]
 [635.87950176 337.25577325]]","[3.1031711e-02 8.5826802e-01 4.3698261e-03 9.6701282e-01 9.2542750e-01
 1.1299649e-02 9.8504609e-01 9.4638169e-01 8.0625832e-01 3.5780255e-04
 3.0999579e-03 5.3860248e-07]",1.0
2,0.08025682182985554,[569.832   162.30128 735.54034 381.63806],0.99827516,"[[578.56202316 237.14030695]
 [576.79290068 259.11329699]
 [577.47337711 281.32005644]
 [579.86352932 303.29913807]
 [585.31031203 323.94051266]
 [595.63888502 342.14856339]
 [608.59974813 357.69293022]
 [623.68757319 370.65877628]
 [642.24580717 376.46021557]
 [662.62496901 376.30245399]
 [683.14545345 369.12951183]
 [702.31864643 358.35300398]
 [718.01116657 342.86672783]
 [728.65244341 323.09199286]
 [735.64057541 300.80642414]
 [741.40261602 277.82312346]
 [745.22322607 254.01588392]
 [589.30563223 219.0184505 ]
 [598.49213552 209.66426444]
 [611.90256667 207.34089029]
 [625.64500165 210.60387206]
 [638.08908653 217.80420256]
 [667.04280567 220.52725267]
 [682.74977398 216.54065263]
 [699.21195698 217.13066411]
 [714.59877682 223.80472136]
 [724.32460976 236.09937143]
 [650.92316461 244.81270027]
 [648.88733816 262.7930851 ]
 [646.77998614 280.1869483 ]
 [644.72595644 297.49010515]
 [629.14098692 305.85887146]
 [636.22094584 309.73419857]
 [643.81925058 312.77432156]
 [652.64257383 311.70139027]
 [661.05474424 310.03451061]
 [603.17510557 237.8911109 ]
 [612.79133749 231.82751846]
 [624.53060341 234.26509809]
 [632.3889513  246.29713011]
 [621.93607879 247.50207376]
 [610.38578343 245.43249917]
 [673.28548622 251.56902981]
 [683.75855875 241.65659261]
 [696.03345585 242.59270144]
 [705.21565866 251.3040514 ]
 [696.04689074 256.16354656]
 [684.01684952 255.57898593]
 [617.32857418 334.81740665]
 [626.95000362 331.61056948]
 [636.32809711 330.00209045]
 [642.8831656  333.0902071 ]
 [650.87608886 331.76885557]
 [662.78896523 336.29159641]
 [674.65689373 340.98164749]
 [662.84946394 347.14560223]
 [650.94201756 349.61434317]
 [642.16497135 349.33192444]
 [634.41348863 347.51938295]
 [626.06964898 342.70276737]
 [621.44332719 335.86493444]
 [635.28014612 337.0195837 ]
 [642.3947413  338.87369347]
 [650.540622   338.7462945 ]
 [670.582654   341.02016401]
 [651.33719635 339.46516228]
 [643.2019372  339.28857756]
 [636.13772583 337.38127661]]","[3.0820841e-02 8.5086715e-01 4.5747412e-03 9.6741301e-01 9.2643565e-01
 1.1290364e-02 9.8509705e-01 9.4734335e-01 8.0235410e-01 3.3036887e-04
 2.8722771e-03 5.0246911e-07]",1.0
3,0.1203852327447833,[571.6185  165.17946 737.0947  387.47485],0.9935527,"[[578.6887282  241.13448894]
 [576.77479529 263.09173363]
 [577.15094457 285.37039649]
 [579.22206078 307.44525808]
 [584.57835907 328.12508559]
 [594.96723637 346.35330784]
 [608.08023879 361.94395113]
 [623.47310042 374.90574539]
 [642.32354403 380.76979434]
 [663.0246982  380.73020124]
 [683.78753126 373.65745962]
 [703.12732565 362.94515365]
 [719.01833326 347.483953  ]
 [729.81938565 327.5769738 ]
 [736.78222024 305.13938105]
 [742.40854454 281.94252121]
 [746.17121756 257.94078749]
 [590.37617142 224.22051328]
 [599.38039628 214.69897753]
 [612.81395099 212.22122398]
 [626.61542025 215.34977281]
 [638.98838872 222.47894172]
 [667.4927879  225.05072592]
 [683.18396777 221.15396656]
 [699.6327067  221.84961841]
 [714.87672651 228.68700764]
 [724.52495307 241.09489584]
 [651.46955618 249.58218342]
 [649.53985512 267.90956634]
 [647.52199477 285.60332918]
 [645.53208563 303.18385196]
 [628.85076392 310.46739304]
 [636.27255467 314.69869512]
 [644.39966127 317.96299088]
 [653.70592585 316.61249608]
 [662.40180075 314.60130179]
 [604.07783061 242.67864951]
 [613.74382544 236.97722524]
 [625.24160016 239.38322371]
 [633.03234333 250.95287806]
 [622.68247792 251.99104047]
 [611.3628425  249.93926266]
 [673.64690554 256.2106117 ]
 [684.10335088 246.75642455]
 [696.11559868 247.70240667]
 [705.29112774 255.99853122]
 [696.06413239 260.55820814]
 [684.2765618  260.00179935]
 [616.76088375 337.98853588]
 [626.91242188 335.1974358 ]
 [636.60063297 334.00853968]
 [643.45023343 337.06474036]
 [651.78493693 335.75386238]
 [663.88859403 339.86378753]
 [676.01869595 344.06171185]
 [664.0090102  350.34535515]
 [651.93276462 352.93016309]
 [642.77602389 352.72480798]
 [634.65021017 350.86894959]
 [625.92240459 345.93619251]
 [620.89545673 339.1294055 ]
 [635.42819443 340.68339318]
 [642.87949023 342.58707643]
 [651.39343613 342.37854248]
 [672.05504465 344.15583146]
 [652.34486261 343.25642282]
 [643.83066761 343.15917182]
 [636.39538461 341.2240442 ]]","[1.7237658e-02 8.5870922e-01 6.8736952e-03 9.6746796e-01 9.2510831e-01
 1.2814735e-02 9.8693275e-01 9.5611781e-01 7.4087590e-01 1.8242284e-04
 2.8402195e-03 2.5342351e-07]",1.0
3,0.1203852327447833,[418.4217  357.7209  493.9132  449.31592],0.75517315,"[[427.10515186 389.11557594]
 [428.57902154 396.64929122]
 [430.1209383  403.98134947]
 [431.69384521 411.42931366]
 [435.20490187 417.96258694]
 [440.88366377 423.00263762]
 [448.21749839 426.57376534]
 [454.82325017 430.30883414]
 [460.96764815 431.79606318]
 [466.40104353 430.80596209]
 [470.91876084 427.26524687]
 [476.13603061 423.34619522]
 [480.73904067 418.67594355]
 [483.73924661 413.07706666]
 [485.30925709 407.08303344]
 [487.02129018 400.83355588]
 [488.84617007 394.44048816]
 [440.88878405 399.17881674]
 [445.58301532 398.19859278]
 [450.65877777 397.95974052]
 [456.11227459 398.64494917]
 [461.66895258 399.75877222]
 [473.07173985 398.95945299]
 [476.61887169 396.77227551]
 [480.16076392 395.14598265]
 [483.69409704 394.23966914]
 [487.28965998 395.22424859]
 [469.76960027 403.90327066]
 [470.92964143 406.98437047]
 [472.03530133 409.98464692]
 [473.14786601 413.31738341]
 [466.70308566 414.08230078]
 [468.42618918 414.92811203]
 [469.95717382 415.70089424]
 [470.72270411 415.6475544 ]
 [471.35205889 415.04501599]
 [449.67178735 402.98618233]
 [452.81741947 403.21427876]
 [456.32632822 402.84241048]
 [459.77436858 403.60286117]
 [456.97158623 405.56558716]
 [453.34414631 405.73621064]
 [473.14363527 403.35565048]
 [474.85613483 402.22719884]
 [477.55695641 401.55006385]
 [480.38466215 401.46509653]
 [478.77256668 403.98022127]
 [475.98490107 404.55854142]
 [456.27469695 418.67934442]
 [461.64876437 420.43258923]
 [465.47855288 421.39099777]
 [466.54610902 421.79257071]
 [467.18649083 421.72486806]
 [467.1182946  421.64452201]
 [468.16283119 420.32003534]
 [466.69126129 422.5423876 ]
 [465.56653053 423.05771315]
 [464.95657206 423.08924842]
 [464.11736727 422.84803671]
 [460.59927022 421.89576817]
 [457.49184763 419.25461626]
 [465.03441763 420.59315658]
 [466.00567567 420.96381259]
 [466.45518613 420.96416515]
 [467.0883323  420.94350505]
 [466.1156857  422.5030309 ]
 [465.63411927 422.58979899]
 [464.76753402 422.39986598]]","[1.7896460e-02 5.4856753e-01 1.4610492e-01 8.1325954e-01 9.2122042e-01
 9.5279008e-01 9.9921077e-01 3.5980272e-01 2.1190298e-01 5.3757830e-03
 2.1021590e-02 4.3146758e-04]",0.0
4,0.16051364365971107,[571.91547 168.2327  738.45026 386.02588],0.9915684,"[[579.54693942 242.99484122]
 [577.90897883 264.9469766 ]
 [578.66683145 287.11707383]
 [581.33077797 309.11251885]
 [587.32855058 329.66592693]
 [598.29529741 347.72873783]
 [611.49623406 363.35274339]
 [626.53040799 376.62941498]
 [645.05790186 382.53575814]
 [665.58428186 382.09906769]
 [686.05922943 374.50724316]
 [705.08467621 363.46042442]
 [720.73981917 348.04298723]
 [731.35609347 328.25942427]
 [737.95334202 305.7795344 ]
 [743.10679251 282.55219102]
 [746.42021275 258.57055923]
 [590.24041927 225.58235165]
 [599.11824626 215.88609248]
 [612.60416985 213.38887306]
 [626.40361801 216.63219519]
 [638.67906442 223.93140417]
 [667.28956705 226.63125037]
 [683.10667485 222.38730808]
 [699.72879064 222.89377615]
 [715.16985345 229.6000236 ]
 [724.96407145 242.021339  ]
 [651.40036041 251.05519447]
 [649.65182549 269.38234985]
 [647.8110165  287.04940778]
 [646.0400061  304.58247542]
 [629.37150767 311.49295503]
 [636.88617158 315.7963028 ]
 [645.10798648 319.1187923 ]
 [654.43065667 317.65553784]
 [663.16329157 315.62023687]
 [604.01549603 243.73722696]
 [613.66672337 237.70383024]
 [625.32995853 240.25114927]
 [633.19189617 252.44271398]
 [622.71411085 253.22262275]
 [611.25260991 251.11586988]
 [673.46335167 257.57566577]
 [684.05139983 247.49743724]
 [696.29126406 248.35128987]
 [705.57538688 256.99356759]
 [696.33464557 261.62828493]
 [684.30186486 261.17736161]
 [617.5462358  337.49822474]
 [627.6599986  334.87839353]
 [637.71525446 333.97935033]
 [644.75152367 337.12504309]
 [653.31968981 335.7955513 ]
 [666.06047213 339.87975115]
 [678.59602791 343.93457472]
 [666.29260695 351.98473853]
 [653.46460634 355.40473759]
 [643.87441084 355.24793637]
 [635.4509995  353.18301952]
 [626.44846714 347.13414395]
 [621.72137988 338.77149189]
 [636.60410789 340.82682431]
 [644.21266922 342.81511366]
 [652.96739024 342.57533526]
 [674.53769404 344.19044298]
 [653.80853751 345.01151687]
 [644.95304224 344.9165951 ]
 [637.23386464 342.8105371 ]]","[1.4539329e-02 8.3859926e-01 4.9170158e-03 9.6760583e-01 9.3654805e-01
 8.2467394e-03 9.8424876e-01 9.6346909e-01 5.2433813e-01 1.3165839e-04
 1.8615541e-03 1.9106619e-07]",1.0
5,0.20064205457463885,[571.2786  168.2889  738.771   386.55396],0.9910467,"[[579.1199635  243.31215072]
 [577.48095001 265.3033669 ]
 [578.18101633 287.48720121]
 [580.7438651  309.5136348 ]
 [586.65339071 330.07605982]
 [597.59526366 348.1287421 ]
 [610.87758297 363.73260474]
 [626.07379663 376.93690395]
 [644.72237545 382.85008073]
 [665.35457909 382.46116018]
 [685.88107634 374.99451661]
 [704.90248406 363.9972229 ]
 [720.49374068 348.58503926]
 [731.03649509 328.77659178]
 [737.61472094 306.28699815]
 [742.78677905 283.02411461]
 [746.12581038 258.99969232]
 [589.81113368 226.16851091]
 [598.70291725 216.38023973]
 [612.28164369 213.79948726]
 [626.20086825 216.99367875]
 [638.53835577 224.26978111]
 [667.45903873 226.83323491]
 [683.3188386  222.58967012]
 [699.96961534 223.10858804]
 [715.39540434 229.84913903]
 [725.16400194 242.29666138]
 [651.40001673 251.26713628]
 [649.74355859 269.6194374 ]
 [647.99192315 287.29802656]
 [646.29393256 304.82835948]
 [629.16636634 311.71617341]
 [636.79168087 316.04580712]
 [645.11407125 319.37364113]
 [654.49199045 317.87897837]
 [663.22086191 315.78380167]
 [603.59776923 244.0980286 ]
 [613.3155725  237.9959842 ]
 [625.03539491 240.52568948]
 [632.96881658 252.76926392]
 [622.42647755 253.55403411]
 [610.90742445 251.46844137]
 [673.37716401 257.85847986]
 [684.06963754 247.70031756]
 [696.36273909 248.54537272]
 [705.68633318 257.23141742]
 [696.37964344 261.87542516]
 [684.29088712 261.4385668 ]
 [616.68181455 337.36243844]
 [627.08528864 334.7395184 ]
 [637.34652656 333.92186058]
 [644.45586699 337.06383097]
 [653.10252237 335.73456359]
 [665.82005084 339.77512562]
 [678.31732905 343.80471909]
 [666.05083621 351.87294817]
 [653.21200937 355.31805313]
 [643.53305662 355.17585909]
 [634.99078321 353.10482287]
 [625.80245405 347.00866008]
 [620.93342817 338.64579678]
 [636.15035689 340.75610793]
 [643.85541326 342.74489796]
 [652.68026268 342.48455405]
 [674.26680982 344.0299058 ]
 [653.61649179 344.97835565]
 [644.68143898 344.89173889]
 [636.84182203 342.78130734]]","[1.5628688e-02 8.5640550e-01 5.3680805e-03 9.6738470e-01 9.3796271e-01
 8.8921143e-03 9.8282176e-01 9.6658635e-01 5.2630192e-01 1.4392707e-04
 2.0357464e-03 2.1618223e-07]",1.0
6,0.2407704654895666,[570.16656 168.8275  728.39984 384.55768],0.99476707,"[[580.38846138 242.82220519]
 [578.72485766 264.35445988]
 [579.59759244 286.04083776]
 [582.51140639 307.35842657]
 [588.7106951  327.18567216]
 [599.79068422 344.53886378]
 [613.13865387 359.37035733]
 [628.25915402 371.92430454]
 [646.2490117  377.55925   ]
 [666.01096725 377.02600062]
 [685.65505922 369.64602959]
 [703.74983633 358.91637814]
 [718.68120599 344.01460814]
 [728.92635643 324.94859767]
 [735.2316888  303.42132938]
 [739.82497644 281.2952143 ]
 [742.48232067 258.5797357 ]
 [590.81517163 224.56563744]
 [600.0968017  215.76143292]
 [613.3586534  213.84454997]
 [626.72791773 217.35689479]
 [638.59393454 224.76539534]
 [667.00046134 227.91361304]
 [681.85807091 223.73776892]
 [697.66269904 224.02412292]
 [712.46927196 230.03402215]
 [722.04208875 241.42625645]
 [651.75465214 251.84104145]
 [650.21739346 269.67068523]
 [648.62013283 286.80871004]
 [647.0807054  303.77256358]
 [630.54353106 310.78217447]
 [638.04298228 314.89396662]
 [646.10749683 318.03695029]
 [655.05905646 316.80972534]
 [663.39785177 314.83950323]
 [604.00164095 243.99888301]
 [613.73213288 238.3413052 ]
 [625.21218711 240.96228737]
 [633.17220914 252.91146785]
 [622.7112942  253.56488049]
 [611.43254617 251.34390935]
 [673.01423699 258.20519745]
 [683.2920723  248.43848577]
 [695.28068864 249.21631378]
 [704.62901473 257.53449178]
 [695.45783126 262.0756157 ]
 [683.67300862 261.72192815]
 [618.07936761 335.32271159]
 [628.01969272 332.23924601]
 [638.18839064 331.06972903]
 [645.15265712 334.17458606]
 [653.38074398 332.90603542]
 [665.84802109 337.21030509]
 [677.71237576 341.92742181]
 [666.40331084 350.38846374]
 [653.97860032 354.27763224]
 [644.57246381 354.16745317]
 [636.15796736 352.10299027]
 [626.91593823 345.53648639]
 [622.18974808 336.40912181]
 [637.22316259 338.22898901]
 [644.7293022  340.223665  ]
 [653.15354377 340.00720036]
 [673.68747002 342.10865146]
 [654.20376271 343.61259913]
 [645.57219255 343.49009067]
 [637.87169698 341.3897894 ]]","[2.6779233e-02 9.4142860e-01 8.5132914e-03 9.3439579e-01 9.2223257e-01
 1.4220803e-02 9.7539181e-01 9.9022877e-01 5.0844347e-01 1.9346239e-04
 3.4211036e-03 3.7145094e-07]",1.0
