frame,time,face_box,face_prob,face_landmarks,face_aus,face_id
0,0.0,[781.3257  233.14471 842.1044  316.71326],0.9994321465492249,"[[779.75750256 267.73165894]
 [780.03422159 276.41411531]
 [781.16873379 285.26733804]
 [783.43963331 293.80712891]
 [787.76389778 301.12161517]
 [794.36038113 306.69690108]
 [802.28115499 310.53199863]
 [810.60372555 312.95955729]
 [818.20742428 313.68614793]
 [824.70599794 312.29637551]
 [829.46496987 308.60937309]
 [833.72742879 303.93632686]
 [837.28632116 298.2356391 ]
 [839.86797357 291.75599635]
 [841.69407439 284.96404648]
 [842.60871267 278.08188808]
 [842.66211796 271.37214345]
 [793.77548122 262.86171049]
 [799.00988722 261.33212191]
 [804.45906335 261.40412951]
 [809.62031054 262.84176511]
 [814.35111547 264.86664492]
 [825.73577428 266.09561265]
 [829.06550205 264.72835046]
 [832.73820925 263.6389938 ]
 [836.41503167 263.42897183]
 [839.37180018 264.92395371]
 [820.22499108 271.5926255 ]
 [820.74231398 276.6985774 ]
 [821.32759321 281.54994118]
 [822.01869059 286.4346149 ]
 [813.78336453 290.80845833]
 [817.04852784 291.7595911 ]
 [820.44357872 292.34000087]
 [823.41895175 291.90819788]
 [825.95223594 290.84504986]
 [798.86681151 270.37883073]
 [803.41823149 269.49600935]
 [807.19068766 269.84229463]
 [810.2814281  272.24706519]
 [806.67622954 272.89764988]
 [802.90978521 272.39606011]
 [826.16153014 272.97845471]
 [829.44459665 271.16020721]
 [832.86105728 271.1129505 ]
 [835.99934113 272.53789639]
 [832.96009612 274.10036486]
 [829.58836043 274.11669123]
 [807.01080871 300.38940966]
 [812.57871985 298.94721115]
 [817.40269732 297.84464431]
 [820.05478489 298.55701911]
 [822.43129802 298.00240779]
 [825.463799   299.23896861]
 [828.2322067  300.70657301]
 [825.43217397 302.7694602 ]
 [822.47160339 303.99994302]
 [819.68300331 304.23118949]
 [816.63352537 303.94487488]
 [812.11085463 302.56402981]
 [808.44891846 300.6013459 ]
 [817.14308095 300.32544065]
 [819.96785355 300.65174305]
 [822.46374345 300.35480297]
 [827.19965601 300.919312  ]
 [822.39044571 300.625283  ]
 [819.85955215 300.77207255]
 [817.08687043 300.50213504]]","[3.7255180e-01 9.1935873e-01 1.3222117e-02 5.6075776e-01 5.3903490e-01
 9.2785090e-02 9.7450429e-01 8.0815172e-01 4.0021601e-01 4.5665442e-03
 1.9183824e-02 3.3692093e-05]",0.0
1,0.04,[780.62024 233.42163 841.7061  317.37112],0.9994984865188599,"[[779.78697018 267.52648878]
 [780.11759567 276.2266984 ]
 [781.30586602 285.06584203]
 [783.61115831 293.57971537]
 [787.95328408 300.8732903 ]
 [794.53798413 306.45778584]
 [802.39707816 310.35220349]
 [810.63064873 312.87659121]
 [818.16248322 313.6505444 ]
 [824.57485771 312.29315567]
 [829.24148631 308.62319636]
 [833.45455813 303.96796513]
 [837.01240957 298.2745198 ]
 [839.62064111 291.79692364]
 [841.51668751 284.99093437]
 [842.55667472 278.09408379]
 [842.72797918 271.33668768]
 [793.59977263 262.88646579]
 [798.84489894 261.25873154]
 [804.33430767 261.26785958]
 [809.57067424 262.66724962]
 [814.39022994 264.67860389]
 [825.90632451 265.89788342]
 [829.34617531 264.58169323]
 [833.08794594 263.57700962]
 [836.79394543 263.46316832]
 [839.70337343 265.07658088]
 [820.33417463 271.43415189]
 [820.8438096  276.5571866 ]
 [821.42198753 281.43695998]
 [822.10629237 286.35261917]
 [813.87979221 290.75388861]
 [817.14229584 291.68912065]
 [820.53358436 292.27019644]
 [823.50536704 291.84522128]
 [826.03479183 290.7998662 ]
 [798.8017773  270.28008521]
 [803.36846507 269.38323987]
 [807.17948437 269.71823364]
 [810.29602987 272.12077236]
 [806.67186952 272.80190587]
 [802.86063409 272.31370932]
 [826.30781686 272.88633633]
 [829.62156892 271.06132275]
 [833.07333755 271.02746147]
 [836.23229015 272.46253884]
 [833.19314659 274.03693175]
 [829.77490842 274.0447101 ]
 [807.17199934 300.54624248]
 [812.72827935 299.17239285]
 [817.51610196 298.09384251]
 [820.15104055 298.81791902]
 [822.51322758 298.26766992]
 [825.55438685 299.49355674]
 [828.34284139 300.92912149]
 [825.55118465 303.07634652]
 [822.58511388 304.32323289]
 [819.80193019 304.54562259]
 [816.76391578 304.2526257 ]
 [812.24846983 302.82769084]
 [808.61521894 300.78185999]
 [817.25512266 300.53463781]
 [820.0674746  300.8688972 ]
 [822.55984032 300.57545924]
 [827.308447   301.15380037]
 [822.49969101 300.92135417]
 [819.96746099 301.06637502]
 [817.20260835 300.77692437]]","[4.0839383e-01 9.2752975e-01 1.1530050e-02 5.5754977e-01 5.5083638e-01
 8.7363675e-02 9.7462720e-01 7.8134137e-01 4.2003775e-01 4.7539445e-03
 1.7596912e-02 2.9184284e-05]",0.0
2,0.08,[780.66644 233.35332 841.52985 317.04324],0.9993599057197571,"[[779.40884921 268.21151477]
 [779.89148712 276.92930341]
 [781.19968283 285.7666254 ]
 [783.58115694 294.25376081]
 [788.00353178 301.5003525 ]
 [794.62675637 307.00830841]
 [802.41251075 310.8905127 ]
 [810.53796959 313.39497709]
 [818.00176394 314.14344501]
 [824.35571814 312.70805669]
 [828.98593163 308.88889956]
 [833.16845465 304.11658514]
 [836.72584295 298.35698307]
 [839.33800447 291.86408162]
 [841.17702436 285.03053403]
 [842.12098527 278.12801564]
 [842.22469509 271.36878246]
 [793.27097535 263.57833725]
 [798.32235974 261.7136777 ]
 [803.77066034 261.51030052]
 [809.04002589 262.72747171]
 [813.91953683 264.61597574]
 [825.49288285 265.9219352 ]
 [828.92642629 264.66663754]
 [832.67409408 263.75931227]
 [836.38050377 263.78645378]
 [839.22506297 265.54290676]
 [819.88282263 271.63185245]
 [820.41825604 276.74351847]
 [821.02599037 281.60308182]
 [821.76188326 286.50591898]
 [813.54724801 291.03185368]
 [816.77639318 291.9299252 ]
 [820.11560845 292.46943414]
 [823.05922854 292.03022552]
 [825.58238125 291.01370788]
 [798.55453908 270.44526976]
 [803.15501094 269.37300694]
 [807.00278276 269.68830675]
 [810.04902542 272.25943291]
 [806.44368792 272.94959962]
 [802.60923874 272.462852  ]
 [825.80177605 272.97635078]
 [829.11283755 271.01094323]
 [832.57326448 271.0092032 ]
 [835.59841716 272.59629905]
 [832.59207189 274.20561403]
 [829.19581246 274.17601573]
 [807.13639522 301.05311632]
 [812.55393529 299.61098838]
 [817.29092848 298.41831887]
 [819.8899945  299.12640202]
 [822.24438775 298.55427122]
 [825.20157528 299.80182362]
 [827.80114412 301.23753834]
 [825.19817901 303.42995584]
 [822.30575883 304.74706566]
 [819.55522346 305.0045296 ]
 [816.53083384 304.71896923]
 [812.10693288 303.29832602]
 [808.58365065 301.28359532]
 [816.9556855  300.89280343]
 [819.74342108 301.21997476]
 [822.18645263 300.91588044]
 [826.82468927 301.430848  ]
 [822.25362384 301.30821609]
 [819.76830649 301.47790182]
 [817.02602363 301.19484234]]","[4.1195181e-01 9.1760218e-01 9.0366546e-03 5.8627057e-01 5.4501939e-01
 6.8586089e-02 9.7543991e-01 7.4471438e-01 3.6919305e-01 3.9562834e-03
 1.4056393e-02 2.2693244e-05]",0.0
3,0.12,[782.8831  242.98346 839.2303  316.0856 ],0.9999707937240601,"[[780.19662148 268.84557486]
 [780.46812502 277.50651598]
 [781.58760017 286.26173663]
 [783.8369832  294.61469364]
 [788.01144832 301.86036777]
 [794.40478969 307.54711223]
 [802.07531953 311.63238144]
 [810.32655144 314.33409119]
 [818.05318451 315.135149  ]
 [824.67601633 313.77022982]
 [829.64462972 309.94555974]
 [833.8354826  305.04104233]
 [837.08751225 299.07729173]
 [839.33919644 292.36621141]
 [840.98954415 285.4145503 ]
 [841.8820281  278.47365427]
 [841.90515924 271.67719913]
 [793.47616613 263.81080651]
 [798.60875845 261.67608714]
 [804.12887323 261.38147932]
 [809.43840027 262.59393346]
 [814.2843461  264.54423606]
 [825.1455617  265.51022124]
 [828.80795717 264.20927644]
 [832.6692431  263.42894423]
 [836.37988687 263.65460753]
 [839.03752708 265.58843827]
 [819.96012688 271.34332776]
 [820.45242643 276.623492  ]
 [820.99885535 281.68869925]
 [821.60958695 286.77791715]
 [813.49153233 291.20767283]
 [816.778512   292.11818504]
 [820.14960194 292.73477745]
 [823.12569141 292.20497036]
 [825.55635309 291.09046888]
 [798.89498746 270.78373837]
 [803.24967539 269.61134219]
 [807.06464028 269.89565611]
 [810.05252028 272.23581171]
 [806.55443203 273.00781679]
 [802.76999521 272.61387825]
 [825.67438388 272.86682713]
 [828.96725678 270.97055662]
 [832.40279531 270.97250819]
 [835.41894579 272.51890969]
 [832.491745   274.00756645]
 [829.10066915 273.98801827]
 [807.54593968 301.30826044]
 [812.61988139 299.56020021]
 [817.01756477 298.30740237]
 [819.5586009  299.08744478]
 [821.98923421 298.47634029]
 [824.99263358 299.80481386]
 [827.69080901 301.58585429]
 [825.11838961 303.59363818]
 [822.2830081  304.76046133]
 [819.47134948 304.99881291]
 [816.48094034 304.72056651]
 [812.28233385 303.35006618]
 [809.11209607 301.46071029]
 [816.78109789 300.91715503]
 [819.50582528 301.24983883]
 [822.05690098 300.97887993]
 [826.59217548 301.70984721]
 [822.19029713 301.22211552]
 [819.59050703 301.36777639]
 [816.86460829 301.05451918]]","[4.1629580e-01 9.1453123e-01 9.6777612e-03 5.6309688e-01 5.2639019e-01
 6.2982418e-02 9.7599936e-01 7.4729520e-01 3.5569340e-01 3.6272956e-03
 1.2569554e-02 1.9674777e-05]",0.0
4,0.16,[783.1794  243.33577 839.1031  316.12656],0.9999575614929199,"[[780.40864231 268.31436133]
 [780.75436929 277.04496944]
 [781.93820894 285.83951139]
 [784.20255202 294.22335315]
 [788.37829792 301.4851141 ]
 [794.75563049 307.21878958]
 [802.39552891 311.37755394]
 [810.62441397 314.13224602]
 [818.30315542 314.93537092]
 [824.84730005 313.53462219]
 [829.70448923 309.69600129]
 [833.82686877 304.79354286]
 [837.03088522 298.83219576]
 [839.27417946 292.12271643]
 [840.96569061 285.17520976]
 [841.9459691  278.21842146]
 [842.05338478 271.39280009]
 [793.540555   263.61239839]
 [798.6960454  261.37232435]
 [804.29226756 260.9988206 ]
 [809.7012763  262.16638446]
 [814.63843751 264.10387111]
 [825.60228205 265.11224174]
 [829.31511855 263.84013486]
 [833.2073257  263.10784829]
 [836.91708589 263.38969588]
 [839.51214194 265.41822767]
 [820.3195765  271.0830549 ]
 [820.80790401 276.41963446]
 [821.36389422 281.52381444]
 [821.98307657 286.65192604]
 [813.91130042 291.11989045]
 [817.18372941 292.00041366]
 [820.55282116 292.60702324]
 [823.51804829 292.09247208]
 [825.94509053 290.99219704]
 [799.04148436 270.51233971]
 [803.42344165 269.27917314]
 [807.30495262 269.55454588]
 [810.33518565 271.98804879]
 [806.81988585 272.81580043]
 [802.96512747 272.43406987]
 [826.00827861 272.60538697]
 [829.30330372 270.60074425]
 [832.7958777  270.5933615 ]
 [835.82620192 272.21020818]
 [832.91776705 273.76179361]
 [829.46903968 273.76058173]
 [808.35043359 301.37161064]
 [813.2827878  299.61944866]
 [817.57319736 298.3219409 ]
 [820.07532358 299.11120415]
 [822.44773793 298.49622488]
 [825.39108229 299.87921286]
 [827.99014282 301.72448301]
 [825.54193926 303.70009327]
 [822.78854012 304.87832189]
 [820.02128744 305.11921477]
 [817.07656908 304.83110714]
 [812.96987104 303.42904925]
 [809.90206766 301.49284744]
 [817.35828495 300.96370506]
 [820.02917886 301.30288601]
 [822.52697229 301.02941418]
 [826.88152242 301.84754777]
 [822.65929437 301.26238728]
 [820.11738682 301.40471649]
 [817.44324231 301.0753603 ]]","[4.5598906e-01 9.1689986e-01 9.7230310e-03 5.2409035e-01 5.8058828e-01
 6.8166114e-02 9.7253966e-01 7.5249016e-01 3.6470410e-01 3.4554475e-03
 1.0817058e-02 1.9374533e-05]",0.0
5,0.2,[782.93115 243.41525 838.97864 316.17847],0.9999605417251587,"[[780.37267566 268.66100001]
 [780.74516055 277.36393547]
 [781.99407348 286.14326811]
 [784.41106856 294.48723125]
 [788.71747071 301.70739913]
 [795.16244268 307.38322854]
 [802.80158722 311.48305655]
 [810.97034431 314.17171526]
 [818.58564234 314.94629002]
 [825.09343052 313.50267553]
 [829.96599722 309.61808014]
 [834.06794906 304.6549871 ]
 [837.23792744 298.65825224]
 [839.47285199 291.94975781]
 [841.15210247 285.00757289]
 [842.08064699 278.03066897]
 [842.10808659 271.19253767]
 [793.6577599  263.58193314]
 [798.76379013 261.50664055]
 [804.2230494  261.25168031]
 [809.47714198 262.45817435]
 [814.28738594 264.3731277 ]
 [825.32563758 265.38114572]
 [828.95765495 264.09515691]
 [832.78942204 263.28666365]
 [836.49049234 263.44428933]
 [839.17479801 265.30693114]
 [820.00831842 271.32804143]
 [820.48337603 276.65011287]
 [821.02345371 281.74205041]
 [821.63820601 286.85285926]
 [813.80107689 291.35152197]
 [817.01185799 292.21497345]
 [820.32823491 292.77245927]
 [823.25367665 292.23603344]
 [825.65791202 291.11732078]
 [798.98929536 270.72148657]
 [803.37014008 269.586375  ]
 [807.18492055 269.86457276]
 [810.16383505 272.15680027]
 [806.66500914 272.98165798]
 [802.87968063 272.58653593]
 [825.85656738 272.72680819]
 [829.13939667 270.87541378]
 [832.56923652 270.87849212]
 [835.59288526 272.3767122 ]
 [832.64133739 273.91023493]
 [829.25281501 273.89082861]
 [808.7507689  301.75233603]
 [813.44002533 299.81173658]
 [817.56766176 298.38847685]
 [820.01139879 299.13685226]
 [822.31492639 298.50283957]
 [825.20740008 299.90098214]
 [827.73565674 301.79226327]
 [825.39164257 303.78467369]
 [822.69781208 304.99467468]
 [819.99744391 305.25957823]
 [817.11421132 304.99701333]
 [813.18848085 303.65074253]
 [810.29043818 301.85393143]
 [817.36288214 301.04693985]
 [819.9721241  301.34856868]
 [822.39759374 301.06055427]
 [826.6681025  301.89638782]
 [822.56447268 301.34886456]
 [820.09074664 301.50210881]
 [817.47598028 301.20480871]]","[4.6820068e-01 9.0501779e-01 7.9251938e-03 5.2883297e-01 5.7139510e-01
 5.9374217e-02 9.7243583e-01 7.4596339e-01 3.6185125e-01 3.1961461e-03
 8.8807745e-03 1.5903170e-05]",0.0
6,0.24,[781.712   237.9891  840.1903  317.10962],0.9995654225349426,"[[779.97389498 267.69520271]
 [780.22290755 276.50294888]
 [781.31661648 285.44299364]
 [783.6222189  294.03085721]
 [787.96425873 301.45819443]
 [794.51386622 307.23399991]
 [802.27257836 311.36297953]
 [810.51606441 314.04271364]
 [818.18717349 314.81746149]
 [824.698865   313.42903304]
 [829.43680662 309.5610323 ]
 [833.50055951 304.67848563]
 [836.75345349 298.81047487]
 [839.12695247 292.23870689]
 [840.90743113 285.38694596]
 [841.9256292  278.47435105]
 [842.05182111 271.73529911]
 [794.44637328 263.64756078]
 [799.59115994 261.71230775]
 [805.08056745 261.45457476]
 [810.35773945 262.68065158]
 [815.19515258 264.58867425]
 [825.7487179  265.6064322 ]
 [829.21870142 264.28071249]
 [832.95614713 263.4131563 ]
 [836.59553057 263.51105142]
 [839.27577251 265.34219262]
 [820.56984305 271.41180405]
 [820.9947415  276.6982736 ]
 [821.48588234 281.74199331]
 [822.069749   286.82173097]
 [813.95405453 291.26056403]
 [817.21217918 292.1854015 ]
 [820.58511186 292.80677152]
 [823.56235486 292.3282249 ]
 [826.04260004 291.23153722]
 [799.58973166 270.47423905]
 [804.02307802 269.37504607]
 [807.83462694 269.66399801]
 [810.78401327 272.11866963]
 [807.30573094 272.89831382]
 [803.53608659 272.46588889]
 [826.18398458 272.70690575]
 [829.40629017 270.71594995]
 [832.81317139 270.67991507]
 [835.77076554 272.28814784]
 [832.88883829 273.8660419 ]
 [829.54613006 273.86602709]
 [808.33664173 301.84040117]
 [813.31257439 299.98807281]
 [817.73573238 298.63251376]
 [820.2787286  299.387909  ]
 [822.64946836 298.77957332]
 [825.59249198 300.21750689]
 [828.15569568 302.07231939]
 [825.6288358  303.95942152]
 [822.81698507 305.11015093]
 [820.07476652 305.34331334]
 [817.13039291 305.06828445]
 [812.99771035 303.75135446]
 [809.82755482 301.9510873 ]
 [817.52525312 301.27675891]
 [820.22590566 301.59728104]
 [822.69816518 301.32586622]
 [827.10819149 302.20253587]
 [822.73750097 301.54133916]
 [820.23255402 301.67965555]
 [817.57532954 301.37843949]]","[5.1517761e-01 9.2917150e-01 6.8412418e-03 5.1629049e-01 5.7940614e-01
 6.5180957e-02 9.6342713e-01 7.6035887e-01 3.9074928e-01 2.8770117e-03
 7.3319273e-03 1.4976049e-05]",0.0
7,0.28,[780.3859  233.57161 841.4386  317.72388],0.9994263648986816,"[[780.12550524 267.60879767]
 [780.51089728 276.42272949]
 [781.78781199 285.39014637]
 [784.19043452 294.03001261]
 [788.57048386 301.44543433]
 [795.08981007 307.14344037]
 [802.81493878 311.1490308 ]
 [810.9411276  313.6575222 ]
 [818.39190364 314.32762885]
 [824.69426095 312.81690502]
 [829.16862082 308.91532874]
 [833.1834209  304.06876826]
 [836.55587113 298.29270089]
 [839.08773947 291.85755813]
 [841.01377451 285.14019394]
 [842.12233555 278.28311062]
 [842.31809759 271.56542885]
 [794.10539162 262.98111373]
 [799.30108452 261.3573271 ]
 [804.73890299 261.33467352]
 [809.93669099 262.69445509]
 [814.74080467 264.68411511]
 [826.27653146 265.93353105]
 [829.62554741 264.55598962]
 [833.28135264 263.49128902]
 [836.94244635 263.28944016]
 [839.8228693  264.84847045]
 [820.57718456 271.60517406]
 [821.06203556 276.79872775]
 [821.63320923 281.74007511]
 [822.32016933 286.71034372]
 [814.31959629 291.29471636]
 [817.471205   292.15513778]
 [820.74257863 292.66717219]
 [823.58369303 292.22152829]
 [826.00660276 291.16542864]
 [799.11155486 270.36654019]
 [803.67645186 269.3776691 ]
 [807.53616798 269.71526521]
 [810.63114935 272.23327941]
 [806.97908664 272.98163486]
 [803.12981075 272.4899472 ]
 [826.50076044 272.85653073]
 [829.80906522 270.91522127]
 [833.27443659 270.87058675]
 [836.30961931 272.3935504 ]
 [833.33163953 274.07123631]
 [829.91942644 274.07308441]
 [808.05162072 301.72441828]
 [813.3158654  300.00849342]
 [817.96425998 298.66146994]
 [820.50101542 299.32700706]
 [822.73581576 298.69882452]
 [825.51568699 299.99662411]
 [827.91738987 301.52282965]
 [825.47678423 303.68426609]
 [822.73633623 305.03432417]
 [820.10192692 305.34379077]
 [817.18691492 305.12518549]
 [812.88904214 303.82260466]
 [809.4970082  301.88247287]
 [817.68999553 301.23500216]
 [820.38635814 301.49144721]
 [822.71946073 301.13887   ]
 [826.89470601 301.73320889]
 [822.67953026 301.47909713]
 [820.3159759  301.69711137]
 [817.68272662 301.4824934 ]]","[5.1889169e-01 9.2937595e-01 7.8235678e-03 5.2028817e-01 5.8491462e-01
 7.1816400e-02 9.6190238e-01 7.6004881e-01 3.7106740e-01 3.0108655e-03
 8.5894279e-03 1.5567919e-05]",0.0
8,0.32,[307.46304  78.93885 392.67764 199.18542],0.9076391458511353,"[[306.61858205 120.46051621]
 [305.52877188 132.20818508]
 [305.40215119 144.58407402]
 [306.7839957  156.82171255]
 [312.03061229 167.03904349]
 [320.10575867 174.99485457]
 [330.17766851 181.89688921]
 [341.12021399 187.20601439]
 [350.76261377 190.4864887 ]
 [357.41722935 189.63623548]
 [361.09796005 184.97145212]
 [365.30493742 179.03868675]
 [369.68965304 171.40394151]
 [373.50199759 163.60268062]
 [376.29100424 155.48250878]
 [377.6349414  147.25698692]
 [377.96295691 139.79132968]
 [346.32692987 104.90275899]
 [354.60827005 103.69782123]
 [362.3491143  104.83177358]
 [368.35618949 108.04248726]
 [372.65877384 112.24033245]
 [381.57168615 120.00954938]
 [382.53140885 119.58442891]
 [383.51966691 119.54165041]
 [383.94341218 120.14667016]
 [383.95031887 121.68598372]
 [375.65316391 126.01983541]
 [377.64042377 130.34654406]
 [379.98991334 134.38139755]
 [382.66355681 138.79091585]
 [368.96847814 148.90057611]
 [371.01747459 149.53105545]
 [372.41253966 149.78172219]
 [372.81799603 150.90233082]
 [373.32480574 151.99183172]
 [350.46189964 118.21119511]
 [357.47274685 116.71761918]
 [362.24332225 117.88162637]
 [363.49997115 123.65120971]
 [360.00467122 123.74634397]
 [355.64339536 122.06360459]
 [374.84136713 129.26602799]
 [377.58013606 127.83079976]
 [379.71967459 129.02571821]
 [378.38742661 133.104532  ]
 [377.50027633 134.07004404]
 [375.79118717 132.41467971]
 [357.78065622 164.9594059 ]
 [364.65262681 161.92504299]
 [371.55809331 159.15296233]
 [372.72404051 160.96700859]
 [373.73004723 161.47126436]
 [371.79138589 167.02430922]
 [365.711505   172.28942192]
 [367.04947478 174.29269302]
 [366.27375239 175.04447222]
 [365.46376055 174.24189049]
 [363.83332169 172.61754179]
 [360.72938848 169.23390305]
 [359.44621176 165.45611036]
 [368.30347151 163.73485315]
 [369.79026353 165.0347901 ]
 [369.87086612 166.44229335]
 [366.39564162 171.29851782]
 [367.64612055 170.26027375]
 [367.42409968 168.81964296]
 [366.15657198 167.43681347]]","[1.4215854e-01 9.5631284e-01 5.3789625e-03 2.6557925e-01 4.6892697e-01
 8.4820396e-01 7.2833651e-01 9.9385107e-01 2.3898417e-01 5.6993412e-03
 2.1739088e-02 1.1698376e-04]",1.0
8,0.32,[780.19995 233.61859 841.16846 317.77432],0.9994351267814636,"[[779.34669907 268.36843801]
 [779.8483098  277.22252083]
 [781.19712625 286.21259129]
 [783.65388018 294.84481812]
 [788.12959415 302.1892004 ]
 [794.772183   307.75636613]
 [802.54618055 311.682078  ]
 [810.6598649  314.12179708]
 [818.08221149 314.81143451]
 [824.35645914 313.31867123]
 [828.85932124 309.47650325]
 [832.91557789 304.71326613]
 [836.34080708 299.00137067]
 [838.92525589 292.60069346]
 [840.83428752 285.8636353 ]
 [841.87584937 278.99637198]
 [842.04860938 272.2698577 ]
 [793.76052159 263.4949742 ]
 [798.75841689 261.55144614]
 [804.18711615 261.24482226]
 [809.46897733 262.40267777]
 [814.34756422 264.29516029]
 [826.07481873 265.76436138]
 [829.43265176 264.52477479]
 [833.11893523 263.67905217]
 [836.75318515 263.77939218]
 [839.4902854  265.62701303]
 [820.20399094 271.79651654]
 [820.70406342 276.99768758]
 [821.30015779 281.91321445]
 [822.03744006 286.86033988]
 [813.9436636  291.57684076]
 [817.09397113 292.43302345]
 [820.3678236  292.92579174]
 [823.22168064 292.47810566]
 [825.67305291 291.46676183]
 [798.83418024 270.46625388]
 [803.49831456 269.28647256]
 [807.41083169 269.63412297]
 [810.44309449 272.40835726]
 [806.78695846 273.11761367]
 [802.89297748 272.5930329 ]
 [826.07095492 273.1439811 ]
 [829.41711712 271.04963207]
 [832.89532375 271.07323837]
 [835.79903102 272.84582806]
 [832.82064545 274.49295634]
 [829.42114413 274.42251456]
 [808.03671181 302.02131867]
 [813.25235009 300.2542336 ]
 [817.88286352 298.81557691]
 [820.414379   299.47121191]
 [822.67175353 298.85668063]
 [825.40412545 300.21406054]
 [827.65085244 301.78371632]
 [825.30718172 303.87451029]
 [822.59049439 305.21504557]
 [819.95580721 305.53503621]
 [817.02792466 305.29730153]
 [812.81890631 304.00920558]
 [809.4910509  302.17850876]
 [817.51901245 301.42720914]
 [820.21986961 301.69749951]
 [822.53714204 301.35697246]
 [826.71214914 301.9420929 ]
 [822.57594776 301.68941462]
 [820.22869551 301.89571834]
 [817.59134424 301.66703892]]","[5.0892490e-01 9.0033972e-01 6.2047043e-03 5.3081393e-01 5.8116889e-01
 5.7247143e-02 9.6383858e-01 7.3327702e-01 3.3749297e-01 3.1467055e-03
 6.4343289e-03 1.4126171e-05]",0.0
