type,file,chnl,tbeg,tdur,ortho,stype,name,conf,tend,audio_file,max_duration,n_speaker,balanced
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,40,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,60,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,77,30,<NA>,<NA>,Hoekstra,<NA>,107,ded21_audio_0,120,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,381,44,<NA>,<NA>,Hoekstra,<NA>,425,ded21_audio_0,120,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,634,4,<NA>,<NA>,Hoekstra,<NA>,638,ded21_audio_0,120,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,757,4,<NA>,<NA>,Hoekstra,<NA>,761,ded21_audio_0,120,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,109,33,<NA>,<NA>,Kaag,<NA>,142,ded21_audio_0,180,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,206,43,<NA>,<NA>,Kaag,<NA>,249,ded21_audio_0,180,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,597,35,<NA>,<NA>,Kaag,<NA>,632,ded21_audio_0,180,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,639,62,<NA>,<NA>,Kaag,<NA>,701,ded21_audio_0,180,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1390,18,<NA>,<NA>,Burger,<NA>,1408,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1419,8,<NA>,<NA>,Burger,<NA>,1427,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1467,14,<NA>,<NA>,Burger,<NA>,1481,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1510,12,<NA>,<NA>,Burger,<NA>,1522,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1567,27,<NA>,<NA>,Burger,<NA>,1594,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1659,26,<NA>,<NA>,Burger,<NA>,1685,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1789,26,<NA>,<NA>,Burger,<NA>,1815,ded21_audio_1,300,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,177,28,<NA>,<NA>,Klaver,<NA>,205,ded21_audio_0,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,491,79,<NA>,<NA>,Klaver,<NA>,570,ded21_audio_0,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1068,29,<NA>,<NA>,Klaver,<NA>,1097,ded21_audio_0,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1389,57,<NA>,<NA>,Klaver,<NA>,1446,ded21_audio_0,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,1690,29,<NA>,<NA>,Klaver,<NA>,1719,ded21_audio_0,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,312,44,<NA>,<NA>,Klaver,<NA>,356,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,538,40,<NA>,<NA>,Klaver,<NA>,578,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,911,33,<NA>,<NA>,Klaver,<NA>,944,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1231,27,<NA>,<NA>,Klaver,<NA>,1258,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1381,6,<NA>,<NA>,Klaver,<NA>,1387,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1413,3,<NA>,<NA>,Klaver,<NA>,1416,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1430,34,<NA>,<NA>,Klaver,<NA>,1464,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1484,23,<NA>,<NA>,Klaver,<NA>,1507,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1523,17,<NA>,<NA>,Klaver,<NA>,1540,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1543,19,<NA>,<NA>,Klaver,<NA>,1562,ded21_audio_1,480,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1362,16,<NA>,<NA>,Burger,<NA>,1378,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1390,18,<NA>,<NA>,Burger,<NA>,1408,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1419,8,<NA>,<NA>,Burger,<NA>,1427,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1467,14,<NA>,<NA>,Burger,<NA>,1481,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1510,12,<NA>,<NA>,Burger,<NA>,1522,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1567,27,<NA>,<NA>,Burger,<NA>,1594,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1659,26,<NA>,<NA>,Burger,<NA>,1685,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_1.wav,1,1789,26,<NA>,<NA>,Burger,<NA>,1815,ded21_audio_1,600,1,FALSE
SPEAKER,dutch-debate-corpus\ref_ded21_audio_0.wav,1,41,32,<NA>,<NA>,Marijnissen,<NA>,73,ded21_audio_0,40,2,FALSE
